西元前年,年份數字,紀年標題,本年條目數,國家,人物,事件詞,本年內容摘要
前455,455,周貞定王十四年（西元前四五五年）,22,秦、齊、楚、燕、韓、趙、魏、晉、周、吳、鄭、蔡,知伯、智伯、趙襄子、韓康子、魏桓子、秦昭王、趙武靈王,伐、攻、圍、立、滅、取、拔、會、殺、奔,秦厲共公二十二年，晉出公二十年，齊宣西元年，楚惠王三十四年。智襄子為室美，士茁夕焉。智伯曰：“室美夫！”對曰：“美則美矣，抑臣亦有懼也。”智伯曰：“何懼？”對曰：“臣以秉筆事君，志有之曰（《說苑·貴德》“志”作“記”)：‘高山峻原，不生草木，松柏之地，其土不肥。’今土木勝，臣懼其不安人也。”室成，三年而智氏亡。（《國語·晉語九》，《說苑·貴德》第三十章同） 智伯索地于魏宣子（《魏策一》第一章“魏宣子”作“魏桓子”，下同）。魏宣子弗予。任章曰：“何故不予？”宣子曰：“無故請地（《魏策》“請”作“索”），鄰國必恐，彼重欲無厭（《魏策》無“彼”字），天下必懼。君子之地，智伯必驕而輕敵（《魏策》作“知伯必懦，懦而輕敵”），鄰國必懼而相親。以相親之兵，待輕敵之國，則智伯之命不長矣（《魏策》“則智伯”作“知氏”）。《周書》曰：將欲敗之，必姑輔之；將欲取之，必姑予之。君不如予之以驕智伯，且君何釋以天下圖智氏而獨以吾國為智氏質乎？”（《資治通鑒》作“然後可以擇交而圖智氏矣，奈何獨以吾為智氏質乎”，可知“釋”當讀如“擇”）君曰：“善。”乃與之萬戶之邑（《魏策》作“乃與之萬家之邑一”），智伯大悅，因素地于……
前454,454,周貞定王十五年（西元前四五四年）,3,秦、齊、楚、韓、趙、魏、晉,知伯,攻、圍、拔,秦厲共公二十三年，晉出公二十一年，齊宣公二年，楚惠王三十五年。 三國攻晉陽，歲餘，引汾水灌其城，城不浸者三版，城中懸釜而炊，易子而食。（《趙世家》） 案：知伯率韓、魏攻趙晉陽，《韓非子·十過》《趙策一》第二章謂：“三月不能拔，因舒軍而圍之，決晉水而灌之。”《趙世家》則雲：“歲余，引汾水灌其城。”“引汾水”當為“引晉水”之誤，已辨明在上年案語中。至於引水灌城，在攻城三月後或“年餘”之後，尚不能確定。若在年餘之後，即在此年。
前453,453,周貞定王十六年（西元前四五三年）,38,秦、齊、楚、燕、韓、趙、魏、晉、周、吳、鄭、中山、代,張儀、商鞅、孔子、知伯、智伯、趙襄子、韓康子、魏桓子、秦昭王,伐、攻、圍、救、卒、變法、滅、取、拔、盟、遷、殺,秦厲共公二十四年，晉出公二十二年，齊宣公三年，楚惠王三十六年。 [周]定王十六年三晉滅智伯，分有其地。（《周本紀》） [秦厲共公]二十四年晉亂，殺智伯，分其國與趙、韓、魏。（《秦本紀》） 趙襄子五年(當作二十三年)襄子敗智伯晉陽，與魏、韓三分其地。（《六國表》） [晉]哀公四年(當作晉出公二十二年)趙襄子、韓康子、魏桓子共殺智伯，盡並其地。(《晉世家·索隱》：“如《紀年》之說，此乃出公二十二年事。”) 智伯滅在[燕]成公二年也。（《燕世家·索隱》謂“按《紀年》”） 圍晉陽三年，城中巢居而處（《淮南子·人間訓》作“緣木而處”），懸釜而炊，財食將盡，士大夫羸病（《趙策一》第二章作“士卒病羸”）。襄子謂張孟談曰：“糧食匱，財力盡，士大夫羸病，吾恐不能守矣。欲以城下，何國之可下？（《趙策》作“何如”）張孟談曰：“臣聞之，亡弗能存，危弗能安，則無為貴智矣（《趙策》“智”作“知士”，《淮南子》作“智士”）。君釋此計者（《趙策》此下有“勿複言也”)，臣請試潛行而出見韓、魏之君。”(《趙策》無“試潛行而出”五字，《淮南子》“君”下有“而約之”三字)張孟談見韓、魏之君曰(《趙策》“見”上有“陰”字)：“……
前452,452,周貞定王十七年（西元前四五二年）,9,秦、齊、楚、韓、趙、魏、晉、周、魯,知伯、智伯、趙襄子,伐、攻、立、滅、會、奔,秦厲共公二十五年，晉出公二十三年，齊宣公四年，楚惠王三十七年。 [秦厲共公]二十五年智開與邑人來奔。（《秦本紀》） 秦厲共公二十五年晉大夫智開率其邑來奔。（《六國表》“邑”下脫“人”字） 案：《秦本紀·正義》雲：“開，智伯子。伯被趙襄子等滅其國，其子與從屬來奔秦。”《史記會注考證》引張照曰：“智伯死無後，又史載惟輔果在，《正義》以開為智伯子，無據，蓋智伯之族。”其說是。《六國表》稱“晉大夫智開，率其邑來奔”。“邑”下脫“人”字。其後四年，《六國表》又載“晉大夫智寬率其邑人來奔”，亦智伯之族。 [晉]出公二十三年奔楚，乃立昭公孫，是為敬公。（《晉世家·索隱》引《紀年》） [晉]出公十七年（《集解》徐廣曰：“《年表》雲出公立十八年，或雲二十年”），知伯與趙、韓、魏共分範、中行地以為邑，出公怒，告齊、魯，欲以伐四卿。四卿恐，遂反攻出公。出公奔齊，道死。故知伯乃立昭公曾孫驕為晉君，是為哀公。哀公大父雍，晉昭公少子也，號為戴子，戴子生忌。忌善知伯，蚤死，故知伯欲盡並晉，未敢，乃立忌子驕為君。（《晉世家》） [趙襄子]立四年，知伯與趙、韓、魏盡分其範、中行故地。晉出公怒，告齊、魯，欲以伐四卿。四卿……
前451,451,周貞定王十八年（西元前四五一年）,3,秦、齊、楚、晉、周、鄭、蔡,,卒、立,秦厲共公二十六年，晉敬西元年，齊宣公五年，楚惠王三十八年。秦厲共公二十六年左庶長城南鄭。（《六國表》，《秦本紀·集解》徐廣曰：“一本二十六年城南鄭也”） [蔡]元侯六年卒，子侯齊立。（《管蔡世家》） 案：《六國表》記蔡侯齊元年于楚惠王三十九年，即周貞定王十九年。
前449,449,周貞定王二十年（西元前四四九年）,3,秦、齊、楚、晉、越、杞,,卒、立,秦厲共公二十八年，晉敬公三年，齊宣公七年，楚惠王四十年。 秦厲共公二十八年越人來迎女。（《六國表》） [杞]出公十二年卒，子簡公春立。（《陳杞世家》）
前448,448,周貞定王二十一年（西元前四四八年）,9,秦、齊、楚、晉、周、越、蔡,句踐、智伯,伐、攻、卒、立、滅、殺、奔,秦厲共公二十九年，晉敬公四年，齊宣公八年，楚惠王四十一年。 秦厲共公二十九年晉大夫智寬率其邑人來奔。（《六國表》，馬非百《秦集史·國君紀事》十二所引“智寬”作“智伯寬”，蓋《史記》有版本誤衍“伯”字者） [越]不壽立，十年見殺，是為盲姑，次朱句立。（《越世家·索隱》引《紀年》） [越]王不壽卒，子王翁立。（《越世家》） 案：《索隱》引《紀年》，謂晉出公十年十一月句踐卒，《紀年》用夏正，十一月卒，于周正，已是明年正月。因定句踐卒于周貞定王五年。《紀年》又謂次鹿郢立，六年卒，不壽立，不壽立十年見殺，次朱句立。則朱句之立，當在周貞定王二十一年。今本《紀年》系于周貞定王二十年，蓋誤前一年。以《紀年》與《越世家》相校，可知王翁即朱句，不壽即盲姑。“盲姑”金文作“丩古”，“朱句”金文作“州句”，上海博物館藏有越王丩古劍，北京故宮博物院與上海博物館各藏有越王州句劍。周貞定王二十二年（西元前四四七年） 秦厲共公三十年，晉敬公五年，齊宣公九年，楚惠王四十二年。 楚惠王四十二年楚滅蔡。（《六國表》） [蔡]侯齊四年楚惠王滅蔡，蔡侯齊亡，蔡遂絕祀。（《管蔡世家》） 案：金正煒以為楚所滅者即《楚策四》第四章莊……
前446,446,周貞定王二十三年（西元前四四六年）,24,秦、齊、楚、燕、韓、趙、魏、晉、周、越、吳、鄭、中山、代,孔子、子貢、知伯、魏惠王,伐、攻、救、卒、立、變法、滅、取、拔、殺、奔,秦厲共公三十一年，晉敬公六年，齊宣公十年，楚惠王四十三年。 魏文侯初立在[晉]敬公六年。（《晉世家·索隱》引《紀年》，“六年”原作“十八年”，今從雷學淇、王國維校正） 魏文侯斯。（《魏世家·索隱》引《世本》，《六國表》同，《魏世家》誤作文侯名都） 案：雷學淇《考訂竹書紀年》謂《索隱》所引《紀年》，晉敬公十八年，“十八即六字之訛”。雷學淇《竹書紀年義證》亦定魏文侯初立在晉敬公六年。王國維《古本竹書紀年輯校》亦雲：“案《魏世家·索隱》引《紀年》，文侯五十年卒，武侯二十六年卒，由武侯卒年上推之，則文侯初立，當在敬公六年，《索隱》作‘十八年’，‘十八’二字乃‘六’字誤離為二也。”其說是。既然魏文侯初立在晉敬公六年，逾年改元，文侯之元當在七年，即周貞定王二十四年。錢穆《先秦諸子系年》將魏文侯元年定在敬公六年，以此下推，文侯五十年卒，武侯二十六年卒，因與《史記》魏惠王之元年相密接，然終無解於《史記》武侯惠王之史事系年，俱較《紀年》所記者差遲一年也。余考《史記》于惠王之年世，本誤多一年，武侯之年世因此又誤前一年，則魏文侯之元年，自當在周貞定王二十四年。《水經·河水注》雲：“河水又徑命陽城東，周威烈王……
前445,445,周貞定王二十四年（西元前四四五年）,6,秦、齊、楚、魏、晉、魯、越、吳、杞,,立、滅,"秦厲共公三十二年，晉敬公七年，魏文侯元年，齊宣公十一年，楚惠王四十四年。 楚惠王四十四年滅杞。杞，夏之後。（《六國表》） [楚惠王]四十四年楚滅杞，與秦平。是時越已滅吳，而不能正江、淮北，楚東侵廣地至泗上。（《楚世家》） [杞簡公]立一年(“一”當作“四”),楚惠王之四十四年滅杞。(《陳杞世家》) 楚人與越人舟戰于江，楚人順流而進，迎流而退，見利而進，見不利則其退難。越人迎流而進，順流而退，見利而進，見不利則其退速，越人因此若執，亟敗楚人。公輸子自魯南游楚。焉始為舟戰之器作為鉤強之備。楚之兵節，越之兵不節，楚人因此亟敗越人。（《墨子·魯問》） 案：錢穆《公輸般自魯游楚考》雲：“楚之東侵，遵江沿淮，皆不能無水戰，然則公輸之游楚，宜在惠王四十四年前矣。”（《先秦諸子系年》第一三七頁）今附載於此。"
前444,444,周貞定王二十五年（西元前四四四年）,8,秦、齊、楚、魏、晉、周、代,,伐、卒、立,秦厲共公三十三年，晉敬公八年，魏文侯二年，齊宣公十二年，楚惠王四十五年。 秦厲共公三十三年，伐義渠，虜其王。（《六國表》，《秦本紀》同，《後漢書·西羌傳》亦同） 周貞定王二十六年（西元前四四三年）秦厲共公三十四年，晉敬公九年，魏文侯三年，齊宣公十三年，楚惠王四十六年。 [秦厲共公]三十四年，日食，厲共公卒，子躁公立。（《秦本紀》） [秦]刺龔公享國三十四年，葬入裡，生躁公、懷公（《秦始皇本紀》引《秦記》） 案：“刺龔”與“厲共”，音同通假。入裡，《集解》引徐廣曰：“一作人。”躁公，《索隱》雲：“又作遂公。” 秦厲共公三十四年日蝕，晝晦，星見。（《六國表》） 案：朱文鑫《歷代日食考》卷三《戰國及秦日食考》注一雲：“日蝕晝晦星見，是系全食之象。惟是年並無全食能為中國所見。在曆共公三十五年（當作躁西元年），合於西元前四四二年三月十一日，有全食經長城內外，秦都咸陽可見九分餘，宜有晝晦、星見之象。《六國表》三十四年亦系三十五年之誤。”日本新城新藏與渡邊敏夫亦有相同之見解。惟齊藤國治以為此一論斷尚不確當，秦躁西元年所見日食，金星光度不強，尚不足以有“星見”之象。而曆共公三十三年（西元前四四四年）十……
前442,442,周貞定王二十七年（西元前四四二年）,2,秦、齊、楚、魏、晉,,,秦躁西元年，晉敬公十年，魏文侯四年，齊宣公十四年，楚惠王四十七年。 秦躁西元年彗星見。（《秦始皇本紀》引《秦記》）
前441,441,周貞定王二十八年（西元前四四一年）,4,秦、齊、楚、魏、晉、周、鄭,,攻、立、殺,秦躁公二年，晉敬公十一年，魏文侯五年，齊宣公十五年，楚惠王四十八年。[秦]躁公二年南鄭反。（《秦本紀》，《六國表》同） [周定王]二十八年定王崩，長子去疾立，是為哀王。哀王立三月，弟叔襲殺哀王而自立，是為思王。思王立五月，少弟嵬攻殺思王而自立，是為考王。此三王皆定王之子。（《周本紀》，《太平御覽》八十五引《帝王世紀》“嵬”作“隗”） 考哲王嵬。（《漢書·古今人表》） 案：考王《古今人表》作考哲王，是考王亦兩諡也。《呂氏春秋·先識》高誘注，又作考烈王，疑誤。
前440,440,周考王元年（西元前四四0年）,4,秦、齊、楚、魏、晉、周,,,秦躁公三年，晉敬公十二年，魏文侯六年，齊宣公十六年，楚惠王四十九年。 [周]考王封其弟于河南，是為桓公，以續周公之官職。（《周本紀》） 西周桓公名揭，居河南。（《周本紀·索隱》引《世本》） 案：《周本紀·正義》引《帝王世紀》亦雲：“考哲王封其弟揭于河南，續周公之官，是為西周桓公。”
前439,439,周考王二年（西元前四三九年）,10,秦、齊、楚、燕、趙、魏、晉、周、魯、衛、宋,,攻、圍、卒、立、取、遷、殺,秦躁公四年，晉敬公十三年，魏文侯七年，齊宣公十七年，楚惠王五十年。 公輸盤為楚造雲梯之械成（《呂氏春秋·愛類》作“公輸般為高雲梯”，《宋策》第二章作“公輸般為楚設機”），將以攻宋，子墨子聞之，自魯往，裂裳裹足，日夜不休（“自魯往”原作“起于齊”，“裂裳裹足，日夜不休”八字原脫，從孫詒讓據《文選·廣絕交論注》、《世說新語·文學篇注》所引及《呂氏春秋》補正。《淮南子·修務訓》作“自魯趨而十日十夜，足重繭而不休息，裂裳裹足，至於郢”）。行十日十夜而至於郢，見公輸盤。公輸盤曰：“夫子何命焉為？”子墨子曰：“北方有侮臣，願藉之殺之。”公輸盤不說。子墨子曰：“請獻十金。”公輸盤曰：“吾義固不殺人。”子墨子起，再拜曰：“請說之。吾從北方，聞子為梯，將以攻宋，宋何罪之有？荊國有餘於地，而不足於民，殺所不足，而爭所有餘，不可謂智。宋無罪而攻之，不可謂仁。知而不爭，不可謂忠，爭而不得，不可謂強。義不殺少而殺眾，不可謂知類。”公輸盤服。子墨子曰：“然乎？不已乎？”公輸盤曰：“不可。吾既已言之王矣。”子墨子曰：“胡不見我于王。”公輸盤曰：“諾。”子墨子見王，曰：“今有人於此，舍其文軒，鄰有敝罍而欲竊之；舍其錦……
前437,437,周考王四年（西元前四三七年）,11,秦、齊、楚、燕、韓、趙、魏、晉、魯、越、衛、宋、鄭、代,孔子、智伯、秦惠王、齊湣王、楚懷王,伐、攻、卒、立、即位、滅、取、拔、會、殺、奔,秦躁公六年，晉敬公十五年，魏文侯九年，齊宣公十九年，楚惠王五十二年。[魯悼公]三十七年(當作三十一年)悼公卒，子嘉立，是為元公。(《魯世家》) 案：《魯世家》所載哀公以下諸君年世，與《六國表》不合，與《漢書·律曆志》所載劉歆曆譜亦不同。《魯世家》雜載有別國之大事，如悼公十三年三晉滅智伯，平公十二年秦惠王卒，文公七年楚懷王死于秦，頃公二年秦拔楚郢等，皆足以校核。《魯世家》言悼公三十七年，《漢書·律曆志》同，《六國表》作三十八年。《魯世家·集解》引徐廣曰：“一本雲悼公即位三十年，乃于秦惠王卒、楚懷王死年合。”日本武內義雄《六國表訂誤》（《高瀨博士還曆紀念支那學論叢》）據此雲：“悼公年數苟作三十年，較之三十七年，雖無秦惠、楚懷之卒年改少矛盾，然尚有一年之相左。因而為避免完全不相符合計，似以哀公年數從《六國表》為二十八年，悼公年數依據《世家》異本為三十年為適當。惟魯哀公年數依據《左傳》、《魯世家》以及《漢書·律曆志》所引之《六國春秋》，皆作二十七年，而《六國表》之二十八年說，毫未發見若何確證。由此言之，假令哀公年數二十七年不能動搖，則悼公年數，決非三十七年或三十年，而系三十一年。就餘之想像言之……
前435,435,周考王六年（西元前四三五年）,3,秦、齊、楚、魏、晉,,,秦躁公八年，晉敬公十七年，魏文侯十一年，齊宣公二十一年，楚惠王五十四年。 秦躁公八年六月雨雪，日月蝕。（《六國表》） 案：朱文鑫以為是年十月十五日有日食，六月八日有月食。渡邊敏夫以為是年五月二十日有日食，十月三十日有月食，齊藤國治以為是年日食非咸陽所能見。秦躁公七年七月朔有日食能為咸陽所見，十一月九日有月食，《六國表》誤後一年。
